psraid,sample,lang,fips,state,cregion,density,usr,pial1,eminuse,intmob,pialql1,ql1a,qc1,smart1,pial2,pial3,pial4,pial5a,pial5b,pial5c,pial5d,pial5e,pial5f,pial6,pial7,pial8a,pial8b,pial8c,pial8d,pial9,pial10,pial11,pial12,SmartPhone,ql1,hh1,employ,par,sex,age,educ2,hisp,race,inc,income,reg,party,partyln,raceos,iphoneuse,hphoneuse,weight,standwt
102344,1,1,8031,8,4,5,U,1,1,1,2,1, , ,1,1,2,3,3, ,1,3,1,3,1998,1,2,1,1,1,1,1,1,3,2,2,2,1,2,28,4,2,1,3,1,1,3,2, ,1,2,6.5625,2.14179002793269
102362,1,1,53005,53,4,1,U,1,1,2,1, , ,2,8, , ,3,2,4,3,4,6, ,2009,2,9,2,9,2,8,2,2,2,1,2,2,2,2,72,3,2,1,6,3,1,3,1, ,2,2,1.84375,.601741007847755
102364,1,1,6047,6,4,2,S,1,1,1,1, , ,1,1,1,2,2,2,3,3,3,1, ,2000,2,2,2,1,2,2,1,1,1,1,4,3,1,2,36,3,2,1,1,1,1,1, , ,2,2,5.53125,1.80522302354327
102374,1,1,46103,46,2,1,U,1,1,1,1, , ,1,2, , ,1,1,4,4,4,6, ,2011,2,2,2,2,1,1,1,1,1,1,3,1,2,1,43,4,1,9,4,2,3,3,9, ,2,2,3.9375,1.28507401675961
102384,1,2,8031,8,4,5,U,1,1,2,1, , ,2,2, , ,4,1,4,4,4,4, ,2011,2,2,2,2,4,8,1,1,2,1,2,2,1,2,57,3,1,1,2,1,1,4,9, ,2,2,2.96875,.968905012636217
102386,1,1,26097,26,2,1,R,2,2,2,1, , ,2, , , ,2,1,2, , , , , , , , , , , , , ,2,1,2,1,2,1,79,4,2,1,5,2,1,3,1, ,2,2,1.6875,.550746007182692
102393,1,1,25009,25,1,4,S,2,2,1,1, , ,8,2, , ,1,1,1,4,4,4, ,9999,2,2,2,2,5,8,8,8,2,1,2,3,2,2,90,8,2,1,9,4,1,1, , ,2,2,1.625,.530348006916666
102400,1,1,17031,17,2,5,S,1,1,1,1, , ,1,1,1,2,3,2,1,1,2,2,2,2000,1,2,2,1,1,1,1,1,1,1,2,3,1,2,29,6,2,1,9,4,1,3,1, ,2,2,3.65625,1.1932830155625
102403,1,1,27053,27,2,5,S,1,1,2,1, , ,2,1,1,2,2,4,9,2,2,2,1,8888,2,2,2,1,1,1,2,1,2,1,1,3,2,1,78,3,2,1,3,1,1,3,1, ,2,2,1.6875,.550746007182692
102404,1,1,50021,50,1,1,R,1,1,2,1, , ,2,2, , ,3,1,3,3,3,6, ,2010,2,2,2,2,5,1,1,1,2,1,4,2,2,2,57,3,2,1,5,2,3,4,9, ,2,2,3.15625,1.03009901343429
102422,1,1,12095,12,3,4,S,1,1,1,1, , ,1,1,1,1,1,1,1,1,1,1,3,1998,1,2,2,1,1,1,1,1,1,1,2,2,2,2,58,4,2,1,6,3,1,2, , ,2,2,2.0625,.673134008778845
102423,1,1,20021,20,2,1,R,2,2,2,2,2, , , , , ,1,1, , , , , , , , , , , , , , ,3,2,1,3,2,1,77,3,2,1,3,1,1,2, , ,1,1,2.53125,.826119010774037
102429,1,1,1073,1,3,3,S,1,1,1,1, , ,1,1,1,1,1,4,1,1,1,4,1,1994,1,2,2,1,2,1,1,1,1,1,3,1,2,2,50,6,2,2,7,4,1,2, , ,2,2,3.0625,.999502013035255
102443,1,1,36067,36,1,3,S,2,2,2,1, , ,2, , , ,1,1,1, , , , , , , , , , , , , ,2,1,1,3,2,2,76,3,2,1,1,1,3,4,2, ,2,2,1.5625,.50995000665064
102449,1,1,36001,36,1,3,S,2,1,2,1, , ,2,1,1,4,1,1,4,2,4,6,1,8888,2,2,2,2,5,8,1,1,2,1,9,3,2,1,68,3,2,1,99,9,1,9,9, ,2,2,2.59375,.846517011040063
102451,1,1,39011,39,2,2,R,2,2,2,1, , ,2, , , ,1,1,1, , , , , , , , , , , , , ,2,1,1,3,2,2,69,3,2,1,3,1,1,1, , ,2,2,1.21875,.397761005187499
102460,1,1,40141,40,3,1,R,1,1,2,1, , ,2,1,1,2,3,4,5,1,3,5,2,1980,1,1,1,1,1,1,1,1,2,1,2,3,2,2,60,7,2,1,99,3,1,2, , ,2,2,1.34375,.438557005719551
102464,1,1,27163,27,2,3,S,1,1,2,1, , ,2,1,1,2,4,3,2,2,2,4,2,2000,1,2,2,1,2,1,1,1,2,1,2,3,1,2,37,5,2,1,7,4,1,2, , ,2,2,5.03125,1.64203902141506
102479,1,1,48347,48,3,1,R,1,1,1,1, , ,1,1,1,1,3,1,1,1,1,4,1,1995,1,1,2,1,2,1,1,1,1,1,3,1,2,2,40,5,2,1,9,4,2,1, , ,2,2,4.875,1.59104402075
102480,1,1,24027,24,3,4,U,1,1,1,1, , ,1,1,1,2,2,3,1,1,1,4,1,1996,1,2,2,2,1,1,1,1,1,1,2,1,1,2,52,8,2,1,9,4,1,2, , ,2,2,2.0625,.673134008778845
